"product_category","total_sales","salesperitem","avg_review"
"health_beauty",1492137.5,165.77,4.167
"bed_bath_table",1463564.36,143.42,3.893
"watches_gifts",1345015.17,232.5,4.037
"sports_leisure",1195397.49,152.77,4.155
"computers_accessories",1144540.59,166.41,3.997
"furniture_decor",1025908.64,151.16,3.975
"housewares",818028.62,136.61,4.124
"cool_stuff",721901.28,197.89,4.163
"auto",710682.21,178.92,4.076
"garden_tools",618077.56,171.64,4.121
"toys",587080.12,148.59,4.178
"baby",505475.34,173.11,4.025
"perfumery",468466.84,144.86,4.19
"telephony",405465.87,94.96,3.979
"office_furniture",365022.12,279.71,3.585
"stationery",294586.34,124.25,4.23
"pet_shop",268112.66,151.65,4.199
"computers",232937.57,1286.95,4.138
"home_appliances",216796.76,215.93,4.152
"electronics",210307.7,82.15,4.077
"musical_instruments",210016.07,334.42,4.182
"fashion_bags_accessories",207025.6,104.51,4.143
"small_appliances",206368.77,330.19,4.178
"construction_tools_construction",189765.41,242.36,4.057
"consoles_games",177633.31,165.55,4.056
"luggage_accessories",176792.09,168.86,4.34
"home_construction",106800.63,213.6,3.94
"furniture_living_room",92674.95,216.53,3.991
"food_drink",88811.07,90.07,4.258
"agro_industry_and_commerce",78835.34,430.79,4.027
"home_comfort",77981.87,180.51,3.838
"fixed_telephony",62522.5,292.16,3.925
"air_conditioning",62057.7,246.26,4.008
"kitchen_dining_laundry_garden_furniture",58573.86,238.11,4.049
"audio",58126.7,166.08,3.82
"books_general_interest",57233.5,109.43,4.478
"construction_tools_lights",56070.69,227.93,4.102
"small_appliances_home_oven_and_coffee",51229.32,674.07,4.303
"industry_commerce_and_business",49681,206.15,4.183
"construction_tools_safety",46690.13,279.58,3.868
"market_place",36750.49,129.86,4.018
"costruction_tools_garden",34283.65,163.26,4.11
"fashion_shoes",31824.56,122.87,4.212
"signaling_and_security",31672.94,221.49,4.07
"arts_and_craftmanship",31090.5,138.18,4.031
"furniture_bedroom",25158.77,262.07,4.135
"books_technical",24590.4,93.15,4.341
"costruction_tools_tools",17934.17,184.89,4.371
"fashion_male_clothing",15385.64,126.11,3.639
"christmas_supplies",12194.59,94.53,4.039
"fashion_underwear_beach",11633.1,95.35,3.918
"tablets_printing_image",9217.91,116.68,4.076
"cine_photo",8820.71,133.65,4.182
"music",6901.43,181.62,4.211
"books_imported",6531.29,110.7,4.39
"dvds_blu_ray",6192.46,103.21,4.183
"furniture_mattress_and_upholstery",5998.54,157.86,3.816
"party_supplies",5426.43,139.14,4
"fashio_female_clothing",3653.05,89.1,3.683
"fashion_sport",2859.56,105.91,4.259
"la_cuisine",2579.41,198.42,4
"diapers_and_hygiene",2101.25,80.82,3.846
"flowers",1794.87,61.89,4.276
"cds_dvds_musicals",954.99,79.58,4.667
"fashion_childrens_clothes",785.67,98.21,4.5
"security_and_services",324.51,162.25,2.5
