"category","total_sales","aov","avg_review"
"Chemists.Drgustores",654235.196666667,130.483333333333,4.06766666666667
"Clothing",224014.36,129.68875,4.059
"DIY Goods",167178.972857143,212.061428571429,4.076
"Eletrical Goods",257055.984444444,287.196666666667,4.04866666666667
"Food.Consumables",31061.7833333333,116.793333333333,4.178
"Furniture.Carpets",212818.50875,270.0025,3.9615
"Garden Products",326180.605,167.45,4.1155
"Household.Textiles",462574.2,166.94,4.09945454545455
"Music, Films.Books",46318.355,147.27375,4.284
"Services",39452.856,230.108,3.7596
"Sports Equipments",599128.525,129.34,4.207
