"state","sales","salesperorder","avg_shipcost","avg_shcsratio","avg_delidays","avg_review","avg_diffestdel"
"AC",20053.34,247.57,46.19,0.29,20.98,4.062,20.89
"AL",96906.24,238.1,39.18,0.27,24.29,3.816,8.87
"AM",28739.35,192.88,39.04,0.3,26.36,4.208,19.48
"AP",16840.41,240.58,42.04,0.25,29.2,4.2,17.59
"BA",626564.79,184.88,31.38,0.25,19.22,3.879,10.9
"CE",282034.33,213.66,37.63,0.26,21.01,3.903,11.03
"DF",374400.69,172.3,24.98,0.22,12.8,4.089,12.21
"ES",333972.34,161.42,25.36,0.23,15.62,4.011,10.62
"GO",360534.47,175.44,27.34,0.23,15.43,4.059,12.27
"MA",166995.44,223.55,44.26,0.3,21.31,3.763,9.89
"MG",1931030.78,163.49,24.45,0.22,11.91,4.15,13.32
"MS",140978.4,193.39,27.86,0.22,15.57,4.126,11.01
"MT",198573.29,212.61,34.15,0.24,17.81,4.058,14.67
"PA",225335.35,229.7,41.24,0.27,23.73,3.862,14.12
"PB",143274.13,269.31,49.43,0.28,20.32,4.038,13.36
"PE",322372.75,196.93,36.88,0.26,18.36,4.042,13.34
"PI",109383.86,225.07,43.59,0.28,19.39,3.963,11.38
"PR",831490.23,163.39,25.17,0.22,11.87,4.198,13.45
"RJ",2187678.87,170.02,24.8,0.21,15.15,3.913,11.87
"RN",105804.92,215.05,39.99,0.28,19.11,4.11,13.93
"RO",60460.55,238.03,47.97,0.31,19.37,4.126,20.3
"RR",9039.52,220.48,48.34,0.33,29.34,3.902,17.29
"RS",915221.91,164.67,25.94,0.23,15.22,4.141,14.03
"SC",631679.24,171.98,25.97,0.22,14.89,4.087,11.61
"SE",72515.1,212.03,41.6,0.28,21.37,3.892,10.07
"SP",6177845.24,146.27,18.11,0.18,8.67,4.204,11.18
"TO",63917.68,224.27,44.22,0.29,17.38,4.151,12.31
